CustomerID,Recency,Frequency,Monetary,PurchaseProbability,Segment
14911.0,3,112,81977.68000000001,0.999999993043476, High Likelihood
14646.0,3,42,178302.62,0.999999987504642, High Likelihood
14156.0,3,42,98858.34,0.9999996338435067, High Likelihood
12748.0,1,132,14107.75,0.9999991214330926, High Likelihood
18102.0,9,27,135450.75,0.999998115353319, High Likelihood
17841.0,2,81,23501.86,0.9999975382840449, High Likelihood
12415.0,9,15,102087.88,0.9999914436226748, High Likelihood
13089.0,10,71,43324.49,0.9999796444314402, High Likelihood
15311.0,4,65,46155.48,0.9999651495910808, High Likelihood
14298.0,9,37,41182.51,0.9999587437521014, High Likelihood
14606.0,4,71,9564.19,0.9999320274167451, High Likelihood
17450.0,5,23,86461.54,0.9999159896024781, High Likelihood
17511.0,4,21,59375.75,0.9999101019600017, High Likelihood
13694.0,17,39,45911.64,0.9994042108474762, High Likelihood
15039.0,2,38,18513.8,0.9993963296927384, High Likelihood
16029.0,4,52,54304.14,0.9993956587467677, High Likelihood
13798.0,3,42,29161.14,0.9979799672945763, High Likelihood
17949.0,3,33,48209.2,0.9975695190218016, High Likelihood
13408.0,10,41,17836.68,0.997487255938749, High Likelihood
15061.0,38,37,36575.0,0.9972300834946614, High Likelihood
14527.0,9,40,5281.42,0.9969852838113773, High Likelihood
14796.0,5,14,6593.37,0.9966463752854561, High Likelihood
17735.0,4,16,11091.24,0.9964968412479146, High Likelihood
16033.0,18,16,5878.3,0.9960942446598596, High Likelihood
16422.0,10,39,29117.7,0.9959554844401586, High Likelihood
18118.0,2,19,4241.69,0.9959398321129523, High Likelihood
15005.0,6,20,4522.5,0.9953869491600416, High Likelihood
14680.0,5,14,25422.56,0.9951816217181141, High Likelihood
14667.0,5,18,6071.02,0.9951583058468333, High Likelihood
13081.0,54,8,18870.12,0.9947948320814226, High Likelihood
15769.0,12,19,41863.72,0.9946594830857345, High Likelihood
12971.0,2,64,8165.320000000001,0.9945956518957363, High Likelihood
15856.0,5,17,11441.94,0.9943504579407081, High Likelihood
17675.0,11,23,14074.19,0.9941424380816783, High Likelihood
16931.0,13,14,2918.8,0.9941249563141192, High Likelihood
16904.0,5,14,3049.07,0.9938549422819148, High Likelihood
13069.0,10,20,3874.7,0.9932613591874146, High Likelihood
17811.0,2,24,4864.16,0.9924998687269698, High Likelihood
13319.0,2,19,7390.47,0.9924124248776953, High Likelihood
14769.0,18,6,6487.94,0.9923087507226216, High Likelihood
17315.0,10,30,4369.04,0.9921357185097865, High Likelihood
17611.0,34,9,2724.25,0.9921009850622042, High Likelihood
13468.0,3,29,4739.02,0.9920233218037819, High Likelihood
12921.0,8,24,10083.47,0.9917985499213283, High Likelihood
13263.0,18,23,4870.68,0.9917564868298469, High Likelihood
17428.0,21,20,10661.09,0.991687241285611, High Likelihood
16013.0,9,35,23409.34,0.9912751324556789, High Likelihood
15719.0,10,11,4068.67,0.990734467470507, High Likelihood
14534.0,6,14,3035.69,0.9906181295044112, High Likelihood
12540.0,2,11,9246.86,0.9903516672023631, High Likelihood
13098.0,4,18,15169.46,0.9899608041506638, High Likelihood
16558.0,2,14,4685.17,0.989372189890994, High Likelihood
15358.0,31,15,5639.81,0.9893501803121203, High Likelihood
15498.0,31,19,9126.37,0.9890826590132157, High Likelihood
15189.0,1,33,12635.77,0.9890072702567553, High Likelihood
15867.0,23,12,2949.91,0.9889084078750718, High Likelihood
12720.0,4,17,3689.84,0.9886039438948339, High Likelihood
13668.0,23,16,4934.87,0.9883806287346059, High Likelihood
12682.0,11,20,8219.92,0.9883411548200525, High Likelihood
17677.0,10,20,11684.35,0.9881460491068977, High Likelihood
18041.0,14,16,3084.13,0.9877681844730377, High Likelihood
17576.0,9,14,2306.95,0.9876495142540682, High Likelihood
17961.0,34,31,1179.62,0.987453415255931, High Likelihood
12621.0,10,15,10195.04,0.9872303667108726, High Likelihood
14180.0,1,22,4258.92,0.987227270068977, High Likelihood
16525.0,9,21,10372.35,0.9871800933703158, High Likelihood
13018.0,3,18,5075.71,0.9869536228404515, High Likelihood
15159.0,23,18,8969.97,0.9865743263404114, High Likelihood
17757.0,24,20,3320.4500000000003,0.9863352882136807, High Likelihood
15513.0,5,17,11352.14,0.9859239356021687, High Likelihood
18109.0,1,18,4851.12,0.9856987061396093, High Likelihood
17338.0,24,7,5207.02,0.9852566642376627, High Likelihood
14688.0,3,16,4207.62,0.984872158199458, High Likelihood
14415.0,8,9,3801.68,0.9848189953001163, High Likelihood
14056.0,17,17,5382.51,0.9848041986594047, High Likelihood
16241.0,6,10,1786.14,0.9845620700441515, High Likelihood
14051.0,2,16,9271.84,0.984552254810989, High Likelihood
16923.0,9,14,4921.51,0.9843660361495615, High Likelihood
14895.0,1,13,7974.79,0.9841035491274495, High Likelihood
14849.0,5,17,5784.53,0.9839912947804619, High Likelihood
17381.0,9,24,18261.65,0.9833531973031545, High Likelihood
13458.0,10,10,7678.42,0.9832125409695772, High Likelihood
14088.0,39,7,25507.89,0.9831818385414889, High Likelihood
12841.0,17,17,2851.44,0.9829156415622418, High Likelihood
16779.0,17,15,6394.7300000000005,0.9819558208154597, High Likelihood
14735.0,9,23,3595.71,0.9819339405753204, High Likelihood
13969.0,17,11,3911.35,0.9817474352643869, High Likelihood
13050.0,16,13,4509.74,0.9816934590646035, High Likelihood
17243.0,3,16,4454.16,0.9814141006696372, High Likelihood
15078.0,16,22,6702.59,0.9813318096692235, High Likelihood
15615.0,16,19,7367.85,0.9810234107742783, High Likelihood
16684.0,43,18,33883.5,0.9806223487474794, High Likelihood
13230.0,48,12,2234.18,0.9804323257523668, High Likelihood
12471.0,17,19,11116.4,0.9803773993613962, High Likelihood
12681.0,62,15,9866.58,0.9802506313752452, High Likelihood
18229.0,4,14,5212.06,0.9795838192185811, High Likelihood
16839.0,20,22,10869.28,0.9791418671578218, High Likelihood
13534.0,18,21,4371.53,0.9789771335495289, High Likelihood
14505.0,19,6,4255.64,0.9786294204623867, High Likelihood
16814.0,19,16,5206.69,0.978312959574628, High Likelihood
15023.0,26,8,5110.32,0.9782173269580295, High Likelihood
13777.0,39,24,12360.24,0.9781841176936171, High Likelihood
14159.0,6,7,2759.89,0.9781158295351539, High Likelihood
12567.0,6,9,7849.98,0.9775635693057907, High Likelihood
16700.0,32,10,4095.95,0.9774018710308208, High Likelihood
13078.0,17,15,6917.150000000001,0.9772231676057748, High Likelihood
16746.0,11,12,4421.08,0.9771826254793734, High Likelihood
13004.0,24,12,3785.09,0.9768497197570323, High Likelihood
13488.0,31,9,6596.38,0.9766946890489634, High Likelihood
16133.0,11,23,10619.27,0.9766558729975554, High Likelihood
17865.0,18,12,7017.34,0.9759402463554029, High Likelihood
16686.0,8,6,2479.71,0.9757083408233264, High Likelihood
13199.0,2,22,4740.16,0.9756642962052849, High Likelihood
15640.0,32,11,8919.34,0.9754349925058295, High Likelihood
14189.0,6,11,3267.92,0.9753873581605506, High Likelihood
16713.0,26,11,3970.77,0.9753000959914403, High Likelihood
13767.0,19,28,9676.37,0.975251188559233, High Likelihood
17954.0,33,10,1890.21,0.9752059649595568, High Likelihood
13113.0,24,20,10787.06,0.9750949293401234, High Likelihood
17581.0,20,17,6522.29,0.9748356699190778, High Likelihood
16745.0,8,16,6372.7,0.9748128116972742, High Likelihood
13576.0,7,13,4840.9400000000005,0.9745944996987561, High Likelihood
17068.0,5,16,3539.29,0.9744676985014227, High Likelihood
16843.0,4,13,8809.24,0.9743260527758553, High Likelihood
17965.0,2,12,2271.04,0.97421555562031, High Likelihood
17975.0,25,11,3956.0,0.9739288965128919, High Likelihood
15738.0,7,13,3853.4500000000003,0.9734515818052882, High Likelihood
15044.0,46,13,5202.28,0.9732315505988081, High Likelihood
17389.0,6,25,9504.08,0.9732071503689238, High Likelihood
17220.0,9,10,2294.98,0.9726057972072045, High Likelihood
13854.0,2,20,6469.16,0.9724289906539357, High Likelihood
14733.0,21,11,9044.2,0.9721416959420147, High Likelihood
13418.0,9,15,4744.13,0.97115448490604, High Likelihood
15547.0,20,8,2770.71,0.9709716430830843, High Likelihood
14085.0,51,12,3248.19,0.9704367248229284, High Likelihood
15601.0,33,11,5585.46,0.9700464334021838, High Likelihood
12683.0,3,12,6622.19,0.9691724483324524, High Likelihood
13102.0,44,19,4961.7,0.9681720849138503, High Likelihood
14800.0,20,9,3840.44,0.9681697976868285, High Likelihood
13871.0,2,9,4612.64,0.9680903704680761, High Likelihood
14057.0,11,13,4811.98,0.9670679466127036, High Likelihood
12709.0,6,11,7230.79,0.9669857721365303, High Likelihood
17706.0,10,12,8027.5,0.9667770412690315, High Likelihood
14060.0,18,14,4102.78,0.9662527590421512, High Likelihood
15555.0,14,10,2819.94,0.9655714889233948, High Likelihood
16928.0,4,15,2403.55,0.9653016238845261, High Likelihood
13001.0,68,11,8615.42,0.9647500847055275, High Likelihood
16523.0,6,13,5245.95,0.9646281285183912, High Likelihood
15356.0,15,8,2279.64,0.9643505026821247, High Likelihood
15529.0,53,8,2399.08,0.9643462731773456, High Likelihood
13097.0,33,8,4643.71,0.9639965060416162, High Likelihood
17337.0,61,4,2027.8700000000001,0.9636209071331435, High Likelihood
18283.0,6,10,1120.67,0.9630347843605439, High Likelihood
17231.0,36,7,1938.72,0.9625326090447253, High Likelihood
14194.0,16,12,5666.45,0.9625127224742942, High Likelihood
17799.0,9,9,2531.75,0.9623220943427524, High Likelihood
14099.0,30,8,2309.92,0.9622277154473179, High Likelihood
16168.0,5,18,2632.12,0.9617941125170633, High Likelihood
12474.0,9,13,4362.06,0.9617560180048309, High Likelihood
16945.0,9,13,3007.06,0.9612487232434712, High Likelihood
13881.0,6,11,9398.68,0.9610289132866796, High Likelihood
14031.0,36,13,9627.03,0.9608192577229142, High Likelihood
15827.0,24,13,1598.16,0.9603883796532702, High Likelihood
18223.0,7,11,4036.34,0.9599609420427747, High Likelihood
15249.0,2,11,5639.34,0.9594161188187408, High Likelihood
16161.0,50,12,3063.7,0.9593916209511469, High Likelihood
17920.0,15,9,2406.82,0.9577615710618882, High Likelihood
13267.0,2,15,3119.34,0.9570871708100442, High Likelihood
14217.0,10,10,1211.5,0.9566467854070015, High Likelihood
17690.0,12,11,3526.68,0.9565429774605873, High Likelihood
14092.0,10,10,2745.42,0.9559500799593038, High Likelihood
15194.0,37,11,4469.53,0.9558805246416168, High Likelihood
14810.0,14,10,1869.33,0.9549523409955356, High Likelihood
13999.0,6,9,2868.9700000000003,0.9547274676188355, High Likelihood
16145.0,10,8,2600.31,0.9547097124021297, High Likelihood
16011.0,2,12,2195.41,0.9544774630634749, High Likelihood
16722.0,10,10,3656.58,0.9543693329089612, High Likelihood
12931.0,12,11,32530.7,0.9540428869164673, High Likelihood
15838.0,19,12,14153.5,0.9538296984266721, High Likelihood
12583.0,17,9,4232.21,0.9532926571998853, High Likelihood
18198.0,11,14,4427.39,0.9524306524907021, High Likelihood
12731.0,54,8,11324.25,0.9523417949987106, High Likelihood
17238.0,46,11,1959.92,0.9517743963075707, High Likelihood
16767.0,4,7,4825.5,0.9515674172772047, High Likelihood
14560.0,5,15,1565.2,0.9514213549596916, High Likelihood
14709.0,4,9,3952.7400000000002,0.9508960298541034, High Likelihood
